source_variable,source_label,target_field,target_code,target_term,mapped_in_entities,ontology_verification_status
lab_aptt,APTT,"measurement_code, measurement_term",LOINC:3173-2,aPTT in Blood by Coagulation assay,measurement,confirmed | Match
lab_aptt_result,APTT (seconds),measurement_result_numeric,,,measurement,
lab_aptt_aptr,APTT/APTR,"measurement_code, measurement_term",LOINC:63561-5,aPTT actual/normal in Platelet poor plasma by Coagulation assay,measurement,we can go with this code in the extension/ comment column the HostSeq label should be added | Match
lab_aptt_aptr_result,APTT/APTR result,measurement_result_numeric,,,measurement,
lab_pt,PT,"measurement_code, measurement_term",LOINC:5902-2,Prothrombin time (PT),measurement,confirmed | Match
lab_pt_result,PT result,measurement_result_numeric,,,measurement,
lab_inr,INR,"measurement_code, measurement_term",LOINC:6301-6,INR in Platelet poor plasma by Coagulation assay,measurement,confirmed | Match
lab_inr_result,INR result,measurement_result_numeric,,,measurement,
lab_alt_sgpt,ALT/SGPT,"measurement_code, measurement_term",LOINC:1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,measurement,confirmed | Match
lab_alt_sgpt_result,ALT/SGPT result,measurement_result_numeric,,,measurement,
lab_total_bilirubin,Total bilirubin,"measurement_code, measurement_term",LOINC:1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,measurement,"confirmed, Shantala to convert measurement for one record | Match"
lab_total_bilirubin_result,Total bilirubin result,measurement_result_numeric,,,measurement,
lab_total_bilirubin_unit,,"measurement_unit, measurement_unit_source_text",,,measurement,
lab_ast_sgot,AST/SGOT,"measurement_code, measurement_term",LOINC:1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,measurement,confirmed | Match
lab_ast_sgot_result,AST/SGOT result,measurement_result_numeric,,,measurement,
lab_glucose,Glucose,"measurement_code, measurement_term",LOINC:2345-7,Glucose [Mass/volume] in Serum or Plasma,measurement,confirmed | Match
lab_glucose_result,Glucose result,measurement_result_numeric,,,measurement,
lab_glucose_unit,,"measurement_unit, measurement_unit_source_text",,,measurement,
lab_bun,Blood urea nitrogen (urea),"measurement_code, measurement_term",LOINC:3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,measurement,confirmed | Match
lab_bun_result,Blood urea nitrogen (urea) result,measurement_result_numeric,,,measurement,
lab_bun_unit,,"measurement_unit, measurement_unit_source_text",,,measurement,
lab_lactate,Lactate,"measurement_code, measurement_term",LOINC:2524-7,Lactate [Moles/volume] in Serum or Plasma,measurement,"confirmed, Shantala to convert measurement for one record | Match"
lab_lactate_result,Lactate result,measurement_result_numeric,,,measurement,
lab_lactate_unit,,"measurement_unit, measurement_unit_source_text",,,measurement,
lab_creatinine,Creatinine,"measurement_code, measurement_term",LOINC:2160-0,Creatinine [Mass/volume] in Serum or Plasma,measurement,confirmed | Match
lab_creatinine_result,Creatinine result,measurement_result_numeric,,,measurement,
lab_creatinine_unit,,"measurement_unit, measurement_unit_source_text",,,measurement,
lab_sodium,Sodium,"measurement_code, measurement_term",LOINC:2951-2,Sodium [Moles/volume] in Serum or Plasma,measurement,confirmed | Match
lab_sodium_result,Sodium result,measurement_result_numeric,,,measurement,
lab_potassium,Potassium,"measurement_code, measurement_term",LOINC:2823-3,Potassium [Moles/volume] in Serum or Plasma,measurement,confirmed | Match
lab_potassium_result,Potassium result,measurement_result_numeric,,,measurement,
lab_procalcitonin,Procalcitonin,"measurement_code, measurement_term",LOINC:33959-8,Procalcitonin [Mass/volume] in Serum or Plasma,measurement,confirmed | Match
lab_procalcitonin_result,Procalcitonin result,measurement_result_numeric,,,measurement,
lab_crp,CRP,"measurement_code, measurement_term",LOINC:1988-5,C reactive protein [Mass/volume] in Serum or Plasma,measurement,confirmed | Match
lab_crp_result,CRP result,measurement_result_numeric,,,measurement,
lab_chest_ct,Chest CT,"measurement_code, measurement_term | measurement_result_categorical",LOINC:24627-2,CT Chest,measurement,confirmed | Match | confirmed | Match
lab_chest_xray,Chest X-ray,"measurement_code, measurement_term",LOINC:24657-9,XR tomography Chest,measurement,confirmed | Match
lab_chest_xray_infiltrates,Infiltrates present on chest X-ray,measurement_result_categorical,,,measurement,
lab_ecg,ECG,"measurement_code, measurement_term | measurement_result_categorical",LOINC:11524-6,EKG study,measurement,confirmed | Match | confirmed | Match
lab_pocus,POCUS,"measurement_code, measurement_term | measurement_result_categorical",LOINC:25061-3,US Unspecified body region,measurement,Confirmed | Match | Confirmed | Match
